Game,Time,GrSubject,BR1,BR2,BR3,twdbr1,twdbr2,twdbr3
27,2,1,97.86667,16.566668,0.5666674,1,0,0
27,2,2,24.566668,89.86667,0.5666674,1,1,1
27,2,3,24.566668,16.566668,73.86667,1,1,1
27,3,1,103.0,21.125,-9.125,0,0,1
27,3,2,23.639427,84.221146,7.139427,0,0,0
27,3,3,10.415,24.165,80.42,0,0,1
27,4,1,103.35,16.2625,-4.6125,0,1,0
27,4,2,15.89375,101.775,-2.66875,0,0,0
27,4,3,10.30875,23.49625,81.195,1,1,1
27,5,1,98.3725,7.0325,9.595,0,1,0
27,5,2,-3.309533,98.00969,20.29984,1,1,0
27,5,3,6.990199,22.599575,85.410225,0,0,0
27,6,1,91.70937,18.145313,5.1453123,0,0,1
27,6,2,-7.462734,99.96844,22.494297,1,1,1
27,6,3,-11.98086,33.694923,93.285934,0,0,1
27,7,1,90.24623,25.583427,-0.82965803,1,1,1
27,7,2,-13.975328,113.79832,15.177015,0,0,0
27,7,3,-21.52037,47.718887,88.80148,0,1,1
27,8,1,91.38086,17.6167,6.0024414,0,0,0
27,8,2,9.525992,100.14894,5.3250647,1,0,1
27,8,3,3.0442011,30.435558,81.52024,0,0,0
27,9,1,96.69521,16.851429,1.453357,1,1,1
27,9,2,-7.480572,108.01687,14.463702,1,1,0
27,9,3,-1.6904627,25.66287,91.027596,1,1,1
27,10,1,93.188805,11.58173,10.2294655,1,1,0
27,10,2,-9.029356,105.99549,18.033861,1,1,0
27,10,3,-5.865889,27.5441,93.32179,0,0,1
27,11,1,68.854546,23.108992,23.036463,1,1,0
27,11,2,-10.077021,103.15377,21.923246,1,1,0
27,11,3,-7.954197,24.649673,98.30453,1,0,1
27,12,1,91.50262,11.8241415,11.673241,1,0,1
27,12,2,-7.856662,97.08049,25.776173,1,1,0
27,12,3,-9.46297,24.05523,100.40774,1,0,1
27,13,1,91.855515,11.557912,11.586571,1,1,0
27,13,2,-11.723638,104.60545,22.118187,1,1,0
27,13,3,-9.332483,24.613451,99.71903,1,0,1
27,14,1,91.81388,11.606074,11.580047,1,0,1
27,14,2,-11.817506,104.641365,22.176144,1,1,0
27,14,3,-9.3790245,24.574266,99.804756,1,0,1
27,15,1,91.79347,11.598221,11.60831,1,1,0
27,15,2,-8.645666,98.30952,25.33615,0,1,1
27,15,3,-9.410554,24.594364,99.81619,0,0,0
27,16,1,65.952644,29.277578,19.76978,1,0,1
27,16,2,-6.2332325,102.96474,18.268496,0,1,1
27,16,3,-10.650676,23.342257,102.30842,0,1,1
27,17,1,93.98632,16.443495,4.5701876,1,0,1
27,17,2,-2.5971947,98.073616,19.523582,0,1,1
27,17,3,-7.692709,26.309673,96.38303,0,0,1
27,18,1,73.1643,27.74699,14.08871,1,0,1
27,18,2,-3.9552667,102.56615,16.389122,0,1,1
27,18,3,-0.3460276,33.652493,81.693535,0,0,1
27,19,1,94.10239,17.647839,3.2497725,0,0,1
27,19,2,-7.04153,109.48254,12.558997,0,1,1
27,19,3,-5.955639,28.045029,92.910614,0,0,0
27,20,1,84.09841,23.104372,7.797219,1,0,1
27,20,2,-3.7640057,103.19192,15.572092,0,1,1
27,20,3,-0.33590913,34.306305,81.0296,1,0,1
27,21,1,94.23318,18.183168,2.5836515,1,0,1
27,21,2,-7.1803827,110.21063,11.969749,1,1,1
27,21,3,-6.1222534,28.627914,92.49434,0,0,1
27,22,1,94.24659,18.290098,2.4633107,1,0,1
27,22,2,-5.874375,107.66473,13.20965,0,1,1
27,22,3,-2.4922068,32.418346,85.07386,1,0,1
27,23,1,94.24329,18.328293,2.428413,1,0,1
27,23,2,-7.187596,110.33766,11.849937,1,1,1
27,23,3,-22.723558,12.213983,125.509575,0,0,1
27,24,1,94.26165,18.347525,2.3908277,1,0,1
27,24,2,-8.08978,112.158554,10.931226,0,1,1
27,24,3,-7.1998706,27.777767,94.422104,1,0,1
27,25,1,70.038704,30.468134,14.493164,1,0,1
27,25,2,-4.6733294,105.33727,14.336054,1,1,1
27,25,3,-2.9265842,32.0578,85.86878,0,0,1
27,26,1,94.118225,18.687428,2.1943476,1,0,1
27,26,2,-7.1912293,110.377205,11.814022,0,0,0
27,26,3,-1.1176888,34.380627,81.73706,1,0,1
27,27,1,80.28673,25.478508,9.234765,0,0,0
27,27,2,0.9529869,94.716125,19.330889,0,1,1
27,27,3,1.1878128,35.809467,78.00272,0,1,1
27,28,1,94.192,18.137524,2.670476,1,1,0
27,28,2,-7.3143616,110.22119,12.093173,1,1,0
27,28,3,-2.909765,31.964813,85.944954,1,0,1
27,29,1,94.0827,18.06744,2.8498566,1,1,1
27,29,2,-7.4125624,110.1373,12.275265,1,1,0
27,29,3,-5.5574737,29.34794,91.20953,1,0,1
27,30,1,95.09182,17.512472,2.395711,1,1,0
27,30,2,-7.055229,109.9385,12.116728,0,1,1
27,30,3,0.777436,35.066154,79.15641,0,1,0
27,31,1,94.2503,18.179453,2.5702453,1,0,1
27,31,2,-6.7200966,109.97723,11.742874,0,1,1
27,31,3,-6.762291,27.309889,94.4524,0,1,1
27,32,1,94.33515,18.22202,2.4428294,1,0,1
27,32,2,0.7486456,95.258514,18.992838,0,1,1
27,32,3,-6.201876,27.821507,93.38037,0,0,1
27,33,1,94.34757,18.277363,2.3750613,1,0,1
27,33,2,-3.9180837,104.72042,14.197659,0,1,1
27,33,3,0.41155002,34.429596,80.15885,0,0,1
27,34,1,94.35379,18.295506,2.3507073,1,0,1
27,34,2,1.0969944,94.744965,19.158043,0,1,1
27,34,3,-6.570897,27.434948,94.13595,0,0,1
27,35,1,94.34689,18.31434,2.3387654,1,0,1
27,35,2,-1.0919688,99.155,16.936968,0,1,1
27,35,3,-6.556243,27.448269,94.10797,0,0,1
27,36,1,122.01834,4.4839296,-11.50227,1,0,1
27,36,2,-7.0492096,111.08316,10.966052,0,1,1
27,36,3,-6.5477242,27.453737,94.09399,0,0,1
27,37,1,89.45222,20.770836,4.7769427,1,0,1
27,37,2,-6.5501204,110.09301,11.457114,0,1,0
27,37,3,0.04436065,34.04549,80.91015,0,0,1
28,2,1,108.14,-6.32,13.18,1,0,0
28,2,2,13.494711,89.01058,12.494711,1,1,1
28,2,3,18.23,-2.27,99.04,0,0,1
28,3,1,104.03934,4.8553295,6.1053295,1,0,1
28,3,2,15.082076,85.335846,14.582076,1,1,1
28,3,3,11.305,9.555,94.14,1,0,0
28,4,1,79.21489,21.892555,13.892555,1,0,1
28,4,2,8.905,98.44,7.655,1,1,1
28,4,3,19.484552,26.234552,69.28089,1,0,1
28,5,1,99.839455,13.455273,1.7052729,0,0,1
28,5,2,9.76375,100.285,4.95125,0,1,1
28,5,3,9.72875,16.66625,88.605,1,1,1
28,6,1,99.7825,13.2025,2.015,1,1,1
28,6,2,9.387004,98.929115,6.6838784,1,1,0
28,6,3,-3.4242787,5.0600963,113.36418,1,1,1
28,7,1,96.97063,8.538125,9.49125,1,1,0
28,7,2,10.005859,95.66406,9.330078,0,0,0
28,7,3,15.831797,14.20289,84.96531,0,1,1
28,8,1,97.18765,1.6620313,16.150312,0,1,0
28,8,2,10.343965,90.73102,13.925019,0,1,0
28,8,3,17.31171,6.404484,91.283806,0,0,0
28,9,1,100.7885,6.2018213,8.009683,1,0,1
28,9,2,25.791111,70.022514,19.186375,1,1,1
28,9,3,18.519005,7.9779897,88.503006,1,0,1
28,10,1,84.53487,18.490532,11.974602,1,0,1
28,10,2,22.113146,81.95699,10.929857,0,0,0
28,10,3,18.23231,14.629161,82.13853,0,0,0
28,11,1,102.63678,11.441627,0.9215921,1,0,1
28,11,2,19.69058,95.77361,-0.46418977,0,0,1
28,11,3,20.318615,10.151775,84.52961,0,1,1
28,12,1,78.609955,20.193514,16.196531,1,1,0
28,12,2,20.099157,94.223404,0.6774395,1,1,1
28,12,3,23.73064,8.571957,82.6974,1,1,1
28,13,1,101.9898,5.16298,7.8472214,1,1,0
28,13,2,19.119137,85.675644,10.20522,1,0,0
28,13,3,22.035917,10.304732,82.65935,1,0,1
28,14,1,96.99858,4.5235505,13.477867,0,1,0
28,14,2,15.482012,90.047714,9.470276,0,1,0
28,14,3,22.10235,7.2028112,85.69484,0,1,1
28,15,1,100.81327,2.2201612,11.966567,1,1,1
28,15,2,14.774689,89.18693,11.0383835,1,1,0
28,15,3,21.473629,6.506571,87.0198,0,0,0
28,16,1,99.76832,3.961997,11.269685,0,0,0
28,16,2,17.209215,88.636734,9.154053,1,1,1
